1,0,13
1,1,3
1,2,3
1,3,2
1,4,0
1,5,0
1,6,2
1,7,5
1,8,10
1,9,16
1,10,28
1,11,33
1,12,27
1,13,26
1,14,18
1,15,27
1,16,17
1,17,39
1,18,21
1,19,19
1,20,10
1,21,13
1,22,7
1,23,9
2,0,12598
2,1,12737
2,2,12625
2,3,14174
2,4,15270
2,5,14259
2,6,12513
2,7,14336
2,8,20952
2,9,24123
2,10,22385
2,11,20239
2,12,20321
2,13,20889
2,14,21806
2,15,21919
2,16,23022
2,17,22988
2,18,22089
2,19,21006
2,20,18184
2,21,15390
2,22,13738
2,23,12498
3,0,83
3,1,56
3,2,43
3,3,51
3,4,46
3,5,32
3,6,40
3,7,105
3,8,160
3,9,193
3,10,185
3,11,165
3,12,169
3,13,142
3,14,142
3,15,122
3,16,126
3,17,116
3,18,128
3,19,123
3,20,106
3,21,111
3,22,74
3,23,66
4,0,14
4,1,11
4,2,6
4,3,2
4,4,5
4,5,4
4,6,3
4,7,15
4,8,27
4,9,54
4,10,39
4,11,47
4,12,34
4,13,25
4,14,32
4,15,18
4,16,42
4,17,27
4,18,29
4,19,23
4,20,13
4,21,20
4,22,10
4,23,12
5,0,7
5,1,1
5,2,1
5,3,2
5,4,0
5,5,0
5,6,1
5,7,1
5,8,9
5,9,5
5,10,17
5,11,12
5,12,7
5,13,15
5,14,4
5,15,6
5,16,13
5,17,5
5,18,3
5,19,3
5,20,4
5,21,5
5,22,9
5,23,2
6,0,9809
6,1,9623
6,2,10035
6,3,11852
6,4,13745
6,5,14353
6,6,13634
6,7,14986
6,8,19506
6,9,21062
6,10,20507
6,11,19768
6,12,19305
6,13,19264
6,14,20110
6,15,20433
6,16,20661
6,17,20385
6,18,18654
6,19,16953
6,20,14486
6,21,11515
6,22,9954
6,23,9687
7,0,25700
7,1,25539
7,2,23830
7,3,22600
7,4,21016
7,5,18569
7,6,19706
7,7,27191
7,8,40928
7,9,47118
7,10,45579
7,11,41224
7,12,40275
7,13,41393
7,14,45911
7,15,43276
7,16,40785
7,17,37384
7,18,36416
7,19,34579
7,20,34945
7,21,32334
7,22,29240
7,23,26554
8,0,930
8,1,888
8,2,1318
8,3,5131
8,4,7828
8,5,7481
8,6,5879
8,7,4614
8,8,5510
8,9,5968
8,10,5669
8,11,4632
8,12,4448
8,13,4227
8,14,3954
8,15,3846
8,16,4150
8,17,3376
8,18,2518
8,19,2017
8,20,1567
8,21,1088
8,22,885
8,23,819
